Year;Segment;Average width;Sinuosity;Wavelength;Semimeander length;LevelOfImpact;Zone;Period
2008;4;160.746;1.017;395.776;402.339;2;1;Moderate mining
2008;4;221.227;1.042;590.672;615.319;2;1;Moderate mining
2012;4;354.021;1.022;819.238;837.42;3;1;Intensive mining
2012;4;257.73;1.174;1112.003;1305.507;3;1;Intensive mining
2012;4;246.989;1.018;1097.476;1116.935;3;1;Intensive mining
2014;4;177.166;1.016;511.556;519.888;3;1;Intensive mining
2014;4;222.36;1.041;601.74;626.176;3;1;Intensive mining
2014;4;148.682;1.082;1233.716;1335.056;3;1;Intensive mining
2014;4;150.763;1.07;672.607;719.931;3;1;Intensive mining
2015;4;216.348;1.009;399.31;402.822;3;1;Intensive mining
2015;4;208.202;1.04;557.643;580.214;3;1;Intensive mining
2015;4;171.91;1.139;1300.529;1481.168;3;1;Intensive mining
2015;4;128.91;1.069;804.884;860.736;3;1;Intensive mining
2016;4;150.314;1.031;485.198;499.998;3;1;Intensive mining
2016;4;209.799;1.048;428.221;448.821;3;1;Intensive mining
2016;4;173.789;1.147;1287.836;1477.437;3;1;Intensive mining
2016;4;114.976;1.104;842.107;929.338;3;1;Intensive mining
2017;4;197.02;1.063;603.841;641.645;3;1;Intensive mining
2017;4;237.569;1.02;619.339;631.741;3;1;Intensive mining
2017;4;177.924;1.121;1095.81;1228.316;3;1;Intensive mining
2017;4;179.93;1.095;1555.037;1702.178;3;1;Intensive mining
2018;4;177.123;1.076;659.902;710.121;3;1;Intensive mining
2018;4;214.829;1.028;451.94;464.52;3;1;Intensive mining
2018;4;241.032;1.047;479.497;502.165;3;1;Intensive mining
2018;4;213.75;1.052;556.154;585.13;3;1;Intensive mining
2018;4;130.098;1.009;314.059;316.913;3;1;Intensive mining
2018;4;137.494;1.102;522.514;575.57;3;1;Intensive mining
2018;4;171.806;1.082;1388.109;1502.523;3;1;Intensive mining
2020;4;181.345;1.071;711.317;762;3;1;Intensive mining
2020;4;204.507;1.016;439.166;446;3;1;Intensive mining
2020;4;221.756;1.033;517.959;535;3;1;Intensive mining
2020;4;190.762;1.136;409.31;465;3;1;Intensive mining
2020;4;121.271;1.019;371.986;379;3;1;Intensive mining
2020;4;133.264;1.045;342.516;358;3;1;Intensive mining
2020;4;126.51;1.048;613.739;643;3;1;Intensive mining
1984;5;161.538;1.074;1060.095;1138.53;1;1;Minimal mining
1984;5;134.373;1.01;468.332;472.787;1;1;Minimal mining
1984;5;163.146;1.05;490.546;515.29;1;1;Minimal mining
1984;5;203.8;1.046;437.645;457.635;1;1;Minimal mining
1984;5;208.78;1.223;585.585;716.402;1;1;Minimal mining
1984;5;124.17;1.062;488.497;518.884;1;1;Minimal mining
1987;5;212.389;1.053;978.378;1030.489;1;1;Minimal mining
1987;5;207.969;1.015;516.157;523.929;1;1;Minimal mining
1987;5;182.518;1.029;556.417;572.288;1;1;Minimal mining
1987;5;272.732;1.075;453.932;487.872;1;1;Minimal mining
1987;5;147.145;1.229;486.451;597.746;1;1;Minimal mining
1987;5;127.62;1.109;661.592;733.654;1;1;Minimal mining
1992;5;233.448;1.037;1262.149;1308.49;1;1;Minimal mining
1992;5;146.438;1.013;414.855;420.075;1;1;Minimal mining
1992;5;179.626;1.011;379.457;383.633;1;1;Minimal mining
1992;5;190.55;1.014;450.267;456.518;1;1;Minimal mining
1992;5;126.875;1.294;401.993;520.094;1;1;Minimal mining
1992;5;125.065;1.132;671.476;760.139;1;1;Minimal mining
1996;5;190.909;1.011;857.303;866.638;1;1;Minimal mining
1996;5;176.986;1.079;941.044;1015.684;1;1;Minimal mining
1996;5;100.964;1.029;1223.017;1258.725;1;1;Minimal mining
2000;5;222.123;1.04;629.615;655.086;1;1;Minimal mining
2000;5;187.027;1.015;678.738;688.599;1;1;Minimal mining
2000;5;247.257;1.104;795.053;878.107;1;1;Minimal mining
2000;5;157.089;1.059;1428.536;1512.48;1;1;Minimal mining
2004;5;201.557;1.063;1677.959;1783.743;2;1;Moderate mining
2004;5;143.727;1.05;534.682;561.439;2;1;Moderate mining
2004;5;168.248;1.105;942.932;1042.027;2;1;Moderate mining
2004;5;156.552;1.087;1632.466;1774.524;2;1;Moderate mining
2008;5;221.227;1.042;590.672;615.319;2;1;Moderate mining
2008;5;211.813;1.048;341.234;357.585;2;1;Moderate mining
2008;5;213.898;1.088;971.194;1056.445;2;1;Moderate mining
2008;5;205.394;1.091;1318.726;1439.174;2;1;Moderate mining
2012;5;246.989;1.018;1097.476;1116.935;3;1;Intensive mining
2012;5;234.62;1.184;630.579;746.615;3;1;Intensive mining
2012;5;189.98;1.138;431.82;491.347;3;1;Intensive mining
2012;5;134.439;1.009;419.931;423.84;3;1;Intensive mining
2012;5;196.976;1.034;289.492;299.382;3;1;Intensive mining
2012;5;145.837;1.051;536.675;564.288;3;1;Intensive mining
2012;5;182.101;1.01;388.754;392.507;3;1;Intensive mining
2014;5;150.763;1.07;672.607;719.931;3;1;Intensive mining
2014;5;209.315;1.003;557.923;559.467;3;1;Intensive mining
2014;5;313.084;1.023;1153.906;1179.985;3;1;Intensive mining
2014;5;213.055;1.061;597.154;633.796;3;1;Intensive mining
2014;5;249.558;1.029;738.31;759.803;3;1;Intensive mining
2015;5;128.91;1.069;804.884;860.736;3;1;Intensive mining
2015;5;197.928;1.015;795.94;807.977;3;1;Intensive mining
2015;5;151.577;1.077;548.85;591.362;3;1;Intensive mining
2015;5;274.744;1.022;1053.409;1076.099;3;1;Intensive mining
2016;5;114.976;1.104;842.107;929.338;3;1;Intensive mining
2016;5;151.447;1.022;726.985;743.139;3;1;Intensive mining
2016;5;139.885;1.058;571.783;604.902;3;1;Intensive mining
2016;5;247.737;1.029;860.805;885.97;3;1;Intensive mining
2016;5;178.003;1.039;748.573;777.612;3;1;Intensive mining
2017;5;179.93;1.095;1555.037;1702.178;3;1;Intensive mining
2017;5;118.866;1.02;514.695;525.064;3;1;Intensive mining
2017;5;236.374;1.02;542.66;553.303;3;1;Intensive mining
2017;5;160.201;1.036;549.999;569.527;3;1;Intensive mining
2018;5;171.806;1.082;1388.109;1502.523;3;1;Intensive mining
2018;5;113.537;1.024;733.389;750.801;3;1;Intensive mining
2018;5;289.419;1.021;491.031;501.2;3;1;Intensive mining
2018;5;128.684;1.02;434.772;443.525;3;1;Intensive mining
2020;5;126.51;1.048;613.739;643;3;1;Intensive mining
2020;5;132.847;1.104;382.355;422;3;1;Intensive mining
2020;5;195.271;1.094;682.973;747;3;1;Intensive mining
2020;5;140.612;1.042;619.252;645;3;1;Intensive mining
2020;5;219.328;1.012;560.18;567;3;1;Intensive mining
2020;5;153.966;1.075;601.061;646;3;1;Intensive mining
1984;6;124.17;1.062;488.497;518.884;1;1;Minimal mining
1984;6;200.629;1.127;518.071;583.817;1;1;Minimal mining
1984;6;187.906;1.303;430.14;560.502;1;1;Minimal mining
1984;6;87.766;1.158;377.798;437.485;1;1;Minimal mining
1984;6;89.143;1.017;271.655;276.331;1;1;Minimal mining
1984;6;94.702;1.188;628.878;746.794;1;1;Minimal mining
1984;6;123.874;1.175;466.62;548.207;1;1;Minimal mining
1987;6;127.62;1.109;661.592;733.654;1;1;Minimal mining
1987;6;187.278;1.021;350.234;357.513;1;1;Minimal mining
1987;6;162.612;1.04;266.53;277.231;1;1;Minimal mining
1987;6;149.202;1.181;354.71;418.808;1;1;Minimal mining
1987;6;148.453;1.021;571.587;583.751;1;1;Minimal mining
1987;6;234.697;1.141;593.823;677.51;1;1;Minimal mining
1987;6;244.162;1.146;500.09;572.925;1;1;Minimal mining
1992;6;125.065;1.132;671.476;760.139;1;1;Minimal mining
1992;6;197.682;1.02;392.13;400.074;1;1;Minimal mining
1992;6;235.211;1.005;318.371;320.059;1;1;Minimal mining
1992;6;272.656;1.066;375.346;400.074;1;1;Minimal mining
1992;6;198.006;1.03;466.117;480.09;1;1;Minimal mining
1992;6;195.267;1.115;524.738;585.212;1;1;Minimal mining
1992;6;280.797;1.253;522.653;655.022;1;1;Minimal mining
1996;6;100.964;1.029;1223.017;1258.725;1;1;Minimal mining
1996;6;187.857;1.142;580.848;663.582;1;1;Minimal mining
1996;6;172.096;1.025;342.001;350.627;1;1;Minimal mining
1996;6;170.505;1.041;1203.24;1252.973;1;1;Minimal mining
1996;6;204.872;1.116;547.648;611.092;1;1;Minimal mining
2000;6;157.089;1.059;1428.536;1512.48;1;1;Minimal mining
2000;6;238.227;1.12;841.702;942.525;1;1;Minimal mining
2000;6;199.62;1.064;646.134;687.356;1;1;Minimal mining
2000;6;298.717;1.086;544.164;591.049;1;1;Minimal mining
2000;6;240.237;1.154;496.963;573.615;1;1;Minimal mining
2004;6;156.552;1.087;1632.466;1774.524;2;1;Moderate mining
2004;6;154.503;1.121;755.178;846.298;2;1;Moderate mining
2004;6;299.403;1.023;827.13;846.529;2;1;Moderate mining
2004;6;199.247;1.013;562.054;569.184;2;1;Moderate mining
2008;6;205.394;1.091;1318.726;1439.174;2;1;Moderate mining
2008;6;215.618;1.058;432.068;457.337;2;1;Moderate mining
2008;6;150.866;1.033;333.691;344.752;2;1;Moderate mining
2008;6;166.386;1.107;389.685;431.319;2;1;Moderate mining
2008;6;171.025;1.136;646.906;735.09;2;1;Moderate mining
2008;6;242.487;1.097;2573.709;2823.248;2;1;Moderate mining
2012;6;145.837;1.051;536.675;564.288;3;1;Intensive mining
2012;6;182.101;1.01;388.754;392.507;3;1;Intensive mining
2012;6;233.778;1.039;419.339;435.622;3;1;Intensive mining
2012;6;181.135;1.228;1060.592;1302.446;3;1;Intensive mining
2012;6;284.607;1.07;696.089;745.007;3;1;Intensive mining
2012;6;283.766;1.08;551.229;595.254;3;1;Intensive mining
2014;6;213.055;1.061;597.154;633.796;3;1;Intensive mining
2014;6;249.558;1.029;738.31;759.803;3;1;Intensive mining
2014;6;302.411;1.017;775.751;788.629;3;1;Intensive mining
2014;6;292.647;1.055;585.397;617.752;3;1;Intensive mining
2014;6;243.28;1.036;518.709;537.534;3;1;Intensive mining
2015;6;274.744;1.022;1053.409;1076.099;3;1;Intensive mining
2015;6;266.341;1.015;546.546;554.686;3;1;Intensive mining
2015;6;264.161;1.007;548.688;552.712;3;1;Intensive mining
2015;6;256.875;1.048;760.238;796.481;3;1;Intensive mining
2015;6;232.883;1.036;550.821;570.818;3;1;Intensive mining
2016;6;178.003;1.039;748.573;777.612;3;1;Intensive mining
2016;6;205.126;1.026;691.261;709.104;3;1;Intensive mining
2016;6;242.934;1.033;605.889;626.018;3;1;Intensive mining
2016;6;211.875;1.044;509.399;532.043;3;1;Intensive mining
2016;6;290.184;1.046;616.288;644.605;3;1;Intensive mining
2017;6;160.201;1.036;549.999;569.527;3;1;Intensive mining
2017;6;200.436;1.025;576.097;590.762;3;1;Intensive mining
2017;6;244.431;1.027;642.596;660.01;3;1;Intensive mining
2017;6;275.696;1.022;693.577;709.098;3;1;Intensive mining
2017;6;323.685;1.037;559.949;580.77;3;1;Intensive mining
2018;6;128.684;1.02;434.772;443.525;3;1;Intensive mining
2018;6;187.594;1.026;421.873;432.649;3;1;Intensive mining
2018;6;197.384;1.102;371.967;410.092;3;1;Intensive mining
2018;6;301.456;1.129;747.531;843.797;3;1;Intensive mining
2018;6;268.458;1.013;1034.098;1047.085;3;1;Intensive mining
2020;6;153.966;1.075;601.061;646;3;1;Intensive mining
2020;6;127.909;1.12;450.732;505;3;1;Intensive mining
2020;6;177.139;1.009;363.724;367;3;1;Intensive mining
2020;6;198.011;1.028;667.208;686;3;1;Intensive mining
2020;6;230.025;2.099;402.605;845;3;1;Intensive mining
1984;7;123.874;1.175;466.62;548.207;1;1;Minimal mining
1984;7;188.48;1.131;1593.139;1801.739;1;1;Minimal mining
1984;7;116.297;1.023;344.336;352.166;1;1;Minimal mining
1984;7;102.574;1.021;517.449;528.299;1;1;Minimal mining
1984;7;166.159;1.038;1111.566;1154.3;1;1;Minimal mining
1987;7;244.162;1.146;500.09;572.925;1;1;Minimal mining
1987;7;288.885;1.013;414.25;419.46;1;1;Minimal mining
1987;7;216.905;1.022;688.057;703.348;1;1;Minimal mining
1987;7;220.921;1.266;521.323;660.141;1;1;Minimal mining
1987;7;174.804;1.018;487.456;496.361;1;1;Minimal mining
1987;7;195.386;1.003;513.759;515.097;1;1;Minimal mining
1987;7;148.632;1.044;497.489;519.248;1;1;Minimal mining
1992;7;280.797;1.253;522.653;655.022;1;1;Minimal mining
1992;7;251.33;1.038;539.588;560.107;1;1;Minimal mining
1992;7;247.119;1.084;430.529;466.514;1;1;Minimal mining
1992;7;173.576;1.536;731.992;1124.034;1;1;Minimal mining
1992;7;281.81;1.05;542.682;569.871;1;1;Minimal mining
1992;7;333.425;1.027;467.497;480.095;1;1;Minimal mining
1992;7;145.999;1.046;483.026;505.335;1;1;Minimal mining
1996;7;204.872;1.116;547.648;611.092;1;1;Minimal mining
1996;7;212.547;1.035;691.786;716.316;1;1;Minimal mining
1996;7;221.994;1.011;351.669;355.427;1;1;Minimal mining
1996;7;285.35;1.113;652.439;726.215;1;1;Minimal mining
1996;7;298.316;1.062;453.488;481.454;1;1;Minimal mining
1996;7;204.518;1.047;529.868;554.982;1;1;Minimal mining
2000;7;240.237;1.154;496.963;573.615;1;1;Minimal mining
2000;7;276.437;1.135;1791.633;2032.886;1;1;Minimal mining
2000;7;181.019;1.098;1034.78;1135.689;1;1;Minimal mining
2004;7;199.247;1.013;562.054;569.184;2;1;Moderate mining
2004;7;222.778;1.012;612.735;619.937;2;1;Moderate mining
2004;7;301.994;1.05;1368.305;1437.333;2;1;Moderate mining
2004;7;157.548;1.173;957.386;1123.084;2;1;Moderate mining
2008;7;242.487;1.097;2573.709;2823.248;2;1;Moderate mining
2008;7;107.079;1.321;701.011;925.835;2;1;Moderate mining
2012;7;283.766;1.08;551.229;595.254;3;1;Intensive mining
2012;7;215.5;1.021;875.55;894.197;3;1;Intensive mining
2012;7;155.34;1.153;1129.963;1303.138;3;1;Intensive mining
2012;7;182.963;1.285;1011.536;1299.992;3;1;Intensive mining
2014;7;243.28;1.036;518.709;537.534;3;1;Intensive mining
2014;7;278.936;1.049;556.78;583.912;3;1;Intensive mining
2014;7;254.849;1.038;628.432;652.494;3;1;Intensive mining
2014;7;188.658;1.167;1290.842;1505.901;3;1;Intensive mining
2014;7;184.827;1.301;998.9;1299.707;3;1;Intensive mining
2015;7;232.883;1.036;550.821;570.818;3;1;Intensive mining
2015;7;280.854;1.049;634.625;665.96;3;1;Intensive mining
2015;7;250.341;1.036;716.345;741.824;3;1;Intensive mining
2015;7;197.885;1.112;1164.424;1294.706;3;1;Intensive mining
2015;7;161.992;1.343;964.791;1295.964;3;1;Intensive mining
2016;7;290.184;1.046;616.288;644.605;3;1;Intensive mining
2016;7;245.049;1.054;699.857;737.803;3;1;Intensive mining
2016;7;209.664;1.142;1292.48;1475.545;3;1;Intensive mining
2016;7;168.824;1.241;890.946;1105.347;3;1;Intensive mining
2017;7;323.685;1.037;559.949;580.77;3;1;Intensive mining
2017;7;210.457;1.048;1598.665;1675.816;3;1;Intensive mining
2017;7;114.817;1.041;366.066;381.155;3;1;Intensive mining
2017;7;159.846;1.036;419.694;434.677;3;1;Intensive mining
2017;7;144.544;1.062;949.716;1008.279;3;1;Intensive mining
2018;7;268.458;1.013;1034.098;1047.085;3;1;Intensive mining
2018;7;191.129;1.032;1020.777;1053.485;3;1;Intensive mining
2018;7;119.637;1.028;715.425;735.661;3;1;Intensive mining
2018;7;242.179;1.046;883.619;924.45;3;1;Intensive mining
2018;7;204.402;1.168;782.842;914.639;3;1;Intensive mining
2020;7;230.025;2.099;402.605;845;3;1;Intensive mining
2020;7;222.602;1.024;1079.94;1106;3;1;Intensive mining
2020;7;156.019;1.046;684.833;716;3;1;Intensive mining
2020;7;207.689;1.082;912.147;987;3;1;Intensive mining
2020;7;131.482;1.158;731.581;847;3;1;Intensive mining
1984;8;166.159;1.038;1111.566;1154.3;1;1;Minimal mining
1984;8;159.345;1.039;599.147;622.792;1;1;Minimal mining
1984;8;151.184;1.014;419.036;424.986;1;1;Minimal mining
1984;8;178.818;1.022;443.214;453.151;1;1;Minimal mining
1984;8;248.682;1.183;632.102;747.499;1;1;Minimal mining
1987;8;148.632;1.044;497.489;519.248;1;1;Minimal mining
1987;8;248.443;1.047;1421.868;1488.931;1;1;Minimal mining
1987;8;343.817;1.048;2372.886;2487.909;1;1;Minimal mining
1992;8;333.425;1.027;467.497;480.095;1;1;Minimal mining
1992;8;145.999;1.046;483.026;505.335;1;1;Minimal mining
1992;8;258.861;1.022;405.847;414.849;1;1;Minimal mining
1992;8;297.097;1.003;319.255;320.065;1;1;Minimal mining
1992;8;175.122;1.045;845.591;883.681;1;1;Minimal mining
1992;8;237.87;1.06;2223.765;2356.989;1;1;Minimal mining
1996;8;204.518;1.047;529.868;554.982;1;1;Minimal mining
1996;8;175.12;1.095;402.611;440.96;1;1;Minimal mining
1996;8;237.666;1.038;516.167;535.579;1;1;Minimal mining
1996;8;151.491;1.002;390.793;391.575;1;1;Minimal mining
1996;8;241.878;1.076;620.478;667.407;1;1;Minimal mining
1996;8;227.479;1.092;2027.171;2214.126;1;1;Minimal mining
2000;8;181.019;1.098;1034.78;1135.689;1;1;Minimal mining
2000;8;236.242;1.08;636.718;687.564;1;1;Minimal mining
2000;8;273.315;1.026;496.267;509.061;1;1;Minimal mining
2000;8;278.862;1.167;568.186;663.217;1;1;Minimal mining
2000;8;252.818;1.095;4376.355;4792.528;1;1;Minimal mining
2004;8;157.548;1.173;957.386;1123.084;2;1;Moderate mining
2004;8;253.895;1.102;1060.068;1168.461;2;1;Moderate mining
2004;8;256.408;1.106;4884.372;5402.451;2;1;Moderate mining
2008;8;107.079;1.321;701.011;925.835;2;1;Moderate mining
2008;8;231.775;1.119;1294.318;1448.869;2;1;Moderate mining
2008;8;310.715;1.102;1167.124;1286.66;2;1;Moderate mining
2012;8;182.963;1.285;1011.536;1299.992;3;1;Intensive mining
2012;8;259.201;1.112;1175.031;1306.679;3;1;Intensive mining
2012;8;191.917;1.219;1222.218;1489.695;3;1;Intensive mining
2014;8;184.827;1.301;998.9;1299.707;3;1;Intensive mining
2014;8;239.461;1.129;1151.509;1299.742;3;1;Intensive mining
2014;8;220.427;1.276;1163.99;1485.086;3;1;Intensive mining
2015;8;161.992;1.343;964.791;1295.964;3;1;Intensive mining
2015;8;281.778;1.104;1173.62;1295.486;3;1;Intensive mining
2015;8;228.026;1.263;1172.412;1480.897;3;1;Intensive mining
2016;8;168.824;1.241;890.946;1105.347;3;1;Intensive mining
2016;8;232.328;1.142;1291.806;1475.619;3;1;Intensive mining
2016;8;297.275;1.121;847.385;949.991;3;1;Intensive mining
2017;8;144.544;1.062;949.716;1008.279;3;1;Intensive mining
2017;8;272.346;1.249;882.158;1102.111;3;1;Intensive mining
2017;8;170.745;1.031;568.142;585.497;3;1;Intensive mining
2017;8;218.928;1.101;470.857;518.323;3;1;Intensive mining
2017;8;207.833;1.158;564.757;654.004;3;1;Intensive mining
2018;8;204.402;1.168;782.842;914.639;3;1;Intensive mining
2018;8;290.405;1.163;762.676;886.914;3;1;Intensive mining
2018;8;232.317;1.055;698.687;737.402;3;1;Intensive mining
2018;8;184.158;1.054;472.651;498.34;3;1;Intensive mining
2018;8;217.935;1.115;378.34;421.675;3;1;Intensive mining
2020;8;207.689;1.082;912.147;987;3;1;Intensive mining
2020;8;131.482;1.158;731.581;847;3;1;Intensive mining
2020;8;240.364;1.162;744.134;865;3;1;Intensive mining
2020;8;162.053;1.029;653.177;672;3;1;Intensive mining
2020;8;104.219;1.026;576.766;592;3;1;Intensive mining
2020;8;173.018;1.1;513.664;565;3;1;Intensive mining
1984;9;248.682;1.183;632.102;747.499;1;1;Minimal mining
1984;9;181.452;1.011;857.545;867.263;1;1;Minimal mining
1984;9;160.845;1.064;540.109;574.929;1;1;Minimal mining
1984;9;190.401;1.054;534.199;563.131;1;1;Minimal mining
1984;9;153.886;1.004;397.818;399.533;1;1;Minimal mining
1987;9;343.817;1.048;2372.886;2487.909;1;1;Minimal mining
1987;9;246.525;1.031;855.09;881.713;1;1;Minimal mining
1992;9;237.87;1.06;2223.765;2356.989;1;1;Minimal mining
1992;9;315.732;1.039;967.664;1005.255;1;1;Minimal mining
1996;9;227.479;1.092;2027.171;2214.126;1;1;Minimal mining
1996;9;211.6;1.02;750.722;765.821;1;1;Minimal mining
1996;9;216.87;1.078;1747.628;1884.648;1;1;Minimal mining
2000;9;252.818;1.095;4376.355;4792.528;1;1;Minimal mining
2004;9;256.408;1.106;4884.372;5402.451;2;1;Moderate mining
2008;9;310.715;1.102;1167.124;1286.66;2;1;Moderate mining
2008;9;260.422;1.06;819.451;868.503;2;1;Moderate mining
2008;9;271.032;1.071;3034.262;3251.153;2;1;Moderate mining
2012;9;191.917;1.219;1222.218;1489.695;3;1;Intensive mining
2012;9;309.154;1.084;633.454;686.441;3;1;Intensive mining
2012;9;304.774;1.057;721.615;762.844;3;1;Intensive mining
2012;9;260.463;1.004;1194.276;1199.431;3;1;Intensive mining
2014;9;220.427;1.276;1163.99;1485.086;3;1;Intensive mining
2014;9;315.793;1.093;722.008;789.275;3;1;Intensive mining
2014;9;327.463;1.063;591.921;629.042;3;1;Intensive mining
2014;9;270.133;1.017;979.358;996.128;3;1;Intensive mining
2015;9;228.026;1.263;1172.412;1480.897;3;1;Intensive mining
2015;9;313.44;1.081;743.586;803.45;3;1;Intensive mining
2015;9;301.115;1.057;667.817;706.113;3;1;Intensive mining
2015;9;278.922;1.019;880.406;896.803;3;1;Intensive mining
2016;9;297.275;1.121;847.385;949.991;3;1;Intensive mining
2016;9;252.434;1.037;1122.618;1164.17;3;1;Intensive mining
2016;9;347.385;1.035;621.336;643.173;3;1;Intensive mining
2016;9;285.736;1.06;666.112;706.226;3;1;Intensive mining
2017;9;218.928;1.101;470.857;518.323;3;1;Intensive mining
2017;9;207.833;1.158;564.757;654.004;3;1;Intensive mining
2017;9;270.168;1.01;746.668;754.234;3;1;Intensive mining
2017;9;270.946;1.022;626.728;640.217;3;1;Intensive mining
2017;9;258.514;1.073;838.222;899.531;3;1;Intensive mining
2018;9;184.158;1.054;472.651;498.34;3;1;Intensive mining
2018;9;217.935;1.115;378.34;421.675;3;1;Intensive mining
2018;9;264.481;1.02;965.086;983.968;3;1;Intensive mining
2018;9;284.183;1.028;658.466;676.652;3;1;Intensive mining
2018;9;274.438;1.13;602.723;681.223;3;1;Intensive mining
2020;9;104.219;1.026;576.766;592;3;1;Intensive mining
2020;9;173.018;1.1;513.664;565;3;1;Intensive mining
2020;9;225.893;1.013;608.392;616;3;1;Intensive mining
2020;9;344.471;1.01;808.118;816;3;1;Intensive mining
2020;9;360.499;1.088;775.786;844;3;1;Intensive mining
1984;10;153.886;1.004;397.818;399.533;1;1;Minimal mining
1984;10;199.635;1.021;469.836;479.61;1;1;Minimal mining
1984;10;121.69;1.083;465.434;504.048;1;1;Minimal mining
1984;10;211.2;1.01;466.994;471.476;1;1;Minimal mining
1984;10;209.249;1.015;421.962;428.187;1;1;Minimal mining
1984;10;284.793;1.141;2982.546;3404.214;1;1;Minimal mining
1987;10;246.525;1.031;855.09;881.713;1;1;Minimal mining
1987;10;215.758;1.116;1736.369;1937.019;1;1;Minimal mining
1987;10;373.879;1.147;922.355;1058.171;1;1;Minimal mining
1992;10;315.732;1.039;967.664;1005.255;1;1;Minimal mining
1992;10;222.392;1.044;685.136;715.113;1;1;Minimal mining
1992;10;208.582;1.003;398.977;400.086;1;1;Minimal mining
1992;10;195.077;1.017;371.297;377.607;1;1;Minimal mining
1992;10;242.739;1.132;1324.144;1498.365;1;1;Minimal mining
1996;10;211.6;1.02;750.722;765.821;1;1;Minimal mining
1996;10;216.87;1.078;1747.628;1884.648;1;1;Minimal mining
1996;10;266.877;1.145;1470.284;1683.925;1;1;Minimal mining
2000;10;252.818;1.095;4376.355;4792.528;1;1;Minimal mining
2000;10;282.956;1.154;1558.437;1797.885;1;1;Minimal mining
2004;10;256.408;1.106;4884.372;5402.451;2;1;Moderate mining
2004;10;250.329;1.119;1583.446;1771.607;2;1;Moderate mining
2008;10;271.032;1.071;3034.262;3251.153;2;1;Moderate mining
2008;10;281.998;1.099;1702.436;1871.17;2;1;Moderate mining
2012;10;260.463;1.004;1194.276;1199.431;3;1;Intensive mining
2012;10;322.293;1.051;1201.467;1262.839;3;1;Intensive mining
2012;10;293.594;1.066;682.573;727.463;3;1;Intensive mining
2012;10;249.159;1.015;533.223;541.221;3;1;Intensive mining
2014;10;270.133;1.017;979.358;996.128;3;1;Intensive mining
2014;10;243.118;1.101;1348.574;1484.391;3;1;Intensive mining
2014;10;224.879;1.132;1829.808;2071.673;3;1;Intensive mining
2015;10;278.922;1.019;880.406;896.803;3;1;Intensive mining
2015;10;250.807;1.092;1355.868;1480.148;3;1;Intensive mining
2015;10;295.597;1.079;805.889;869.589;3;1;Intensive mining
2015;10;235.186;1.029;464.223;477.73;3;1;Intensive mining
2016;10;285.736;1.06;666.112;706.226;3;1;Intensive mining
2016;10;297.694;1.097;1550.396;1701.233;3;1;Intensive mining
2016;10;302.202;1.089;846.99;922.723;3;1;Intensive mining
2016;10;245.4;1.021;620.342;633.533;3;1;Intensive mining
2017;10;258.514;1.073;838.222;899.531;3;1;Intensive mining
2017;10;251.693;1.088;1353.914;1472.632;3;1;Intensive mining
2017;10;296.86;1.145;1125.032;1288.502;3;1;Intensive mining
2018;10;274.438;1.13;602.723;681.223;3;1;Intensive mining
2018;10;241.35;1.118;1551.469;1734.574;3;1;Intensive mining
2018;10;315.306;1.159;1111.384;1287.569;3;1;Intensive mining
2020;10;360.499;1.088;775.786;844;3;1;Intensive mining
2020;10;235.59;1.105;1494.006;1651;3;1;Intensive mining
2020;10;328.863;1.104;1020.98;1127;3;1;Intensive mining
1984;11;284.793;1.141;2982.546;3404.214;1;2;Minimal mining
1984;11;226.573;1.101;755.038;830.935;1;2;Minimal mining
1987;11;373.879;1.147;922.355;1058.171;1;2;Minimal mining
1987;11;287.402;1.01;908.592;917.984;1;2;Minimal mining
1987;11;348.896;1.122;1485.586;1667.483;1;2;Minimal mining
1987;11;193.201;1.152;517.852;596.578;1;2;Minimal mining
1992;11;242.739;1.132;1324.144;1498.365;1;2;Minimal mining
1992;11;454.619;1.04;715.633;744.547;1;2;Minimal mining
1992;11;419.168;1.016;736.37;747.963;1;2;Minimal mining
1992;11;506.922;1.002;745.471;747.173;1;2;Minimal mining
1996;11;266.877;1.145;1470.284;1683.925;1;2;Minimal mining
1996;11;360.544;1.106;620.811;686.406;1;2;Minimal mining
1996;11;281.822;1.412;606;855.582;1;2;Minimal mining
1996;11;212.794;1.259;589.834;742.508;1;2;Minimal mining
1996;11;211.73;1.219;1196.049;1457.545;1;2;Minimal mining
2000;11;282.956;1.154;1558.437;1797.885;1;2;Minimal mining
2000;11;370.335;1.072;755.258;809.718;1;2;Minimal mining
2000;11;198.273;1.031;1136.142;1171.087;1;2;Minimal mining
2004;11;250.329;1.119;1583.446;1771.607;2;2;Moderate mining
2004;11;297.622;1.105;945.797;1044.786;2;2;Moderate mining
2004;11;281.991;1.145;2046.05;2343.071;2;2;Moderate mining
2008;11;281.998;1.099;1702.436;1871.17;2;2;Moderate mining
2008;11;350.183;1.148;866.278;994.332;2;2;Moderate mining
2008;11;336.433;1.138;2094.719;2382.784;2;2;Moderate mining
2012;11;249.159;1.015;533.223;541.221;3;2;Intensive mining
2012;11;344.944;1.129;688.729;777.79;3;2;Intensive mining
2012;11;328.466;1.19;939.239;1117.859;3;2;Intensive mining
2012;11;418.247;1.075;1035.41;1113.37;3;2;Intensive mining
2014;11;224.879;1.132;1829.808;2071.673;3;2;Intensive mining
